@ PLANE %s "X"
*            NAME                 S           CAL_AMP       CAL_AMP_STD       CALIBRATION ERROR_CALIBRATION          CAL_BETA      CAL_BETA_STD
$              %s               %le               %le               %le               %le               %le               %le               %le
      BPMR.5L1.B1       23326.02462     1.01668572019 0.000999869450025     1.02471630432   0.0118717031839     1.03364985363  0.00448152977692
     BPMYA.4L1.B1       23347.14262     1.04851638683  0.00115456549324     1.05175764535  0.00629882313685     1.09938661345  0.00482794657676
     BPMWB.4L1.B1       23368.27512     1.04688417911  0.00123040352452     1.04825456286   0.0108136515429     1.09596648448  0.00337736439625
     BPMSY.4L1.B1       23461.05512     1.05059707827   0.0012148201366     1.04925046594  0.00677384773459     1.10375422086   0.0137894409428
      BPMS.2L1.B1       23487.84062     1.02926021473 0.000960261714276     1.02849191731  0.00468623840814     1.05937658963  0.00541152742476
     BPMSW.1L1.B1       23497.79062     1.03216662219 0.000864180906138     1.03221654959   0.0036098220051     1.06536793596  0.00553599455832
     BPMSW.1R1.B1       23540.93362      1.0329417683 0.000315499350836     1.03287090151  0.00571660738976     1.06696869669   0.0111932486171
      BPMS.2R1.B1       23550.89862     1.01138365032 0.000169928552149     1.01238338374  0.00530236925744     1.02289688813   0.0100750506582
     BPMSY.4R1.B1       23577.68412     1.06924511245 0.000194487392594     1.06971800712  0.00702568081269      1.1432851105   0.0145189056891
     BPMWB.4R1.B1       23670.46412     1.05576246874  0.00104670416877     1.05404150071  0.00526170105441     1.11463439041  0.00506254381393
     BPMYA.4R1.B1       23691.59662      1.0627574801  0.00116013410995     1.06055362964  0.00433474735462     1.12945346151  0.00591385149646
     BPMYA.4L5.B1       10017.54665     1.05094488872 0.000932105962945     1.05040424976  0.00504253276891     1.10448515913  0.00275364967514
     BPMWB.4L5.B1       10038.68115     1.05914068058 0.000984696650314     1.05905488461  0.00723672345765     1.12177898126   0.0135816664597
     BPMSY.4L5.B1       10131.46115      1.0276856563 0.000842621128813      1.0273384565  0.00242050818992     1.05613780817   0.0024804392016
      BPMS.2L5.B1       10158.24665     1.05615602681 0.000745516383023       1.055146347  0.00251447756292     1.11546555296  0.00441979850131
     BPMSW.1L5.B1       10168.21165     1.01630991551 0.000623740108038     1.01655474714  0.00590587590469     1.03288584436   0.0113184335147
     BPMSW.1R5.B1       10211.33965      1.0244007475 0.000279828189123     1.02505825389  0.00499750544411     1.04939689148  0.00990229925551
      BPMS.2R5.B1       10221.30465     1.01201783261 0.000184005313376     1.01215498412  0.00244413130661     1.02418009351  0.00433405060428
     BPMWB.4R5.B1       10340.87015     1.06291176675 0.000735717150827     1.06217509864  0.00634168414358     1.12978142389  0.00772711692606
     BPMYA.4R5.B1       10362.00265      1.0427290532 0.000789473880399     1.04089526734  0.00432357413515     1.08728387839  0.00614124678608
       BPM.5R5.B1       10383.12065     1.01591843441 0.000807907063315     1.01349565633  0.00534462103756     1.03209026538  0.00568531764215
