@ PLANE %s "Y"
*            NAME                 S           CAL_AMP       CAL_AMP_STD       CALIBRATION ERROR_CALIBRATION          CAL_BETA      CAL_BETA_STD
$              %s               %le               %le               %le               %le               %le               %le               %le
      BPMR.5L1.B1       23326.02462     1.01343465878  0.00106142513112      1.0103152106  0.00651011831549     1.02704980763  0.00332748160879
     BPMYA.4L1.B1       23347.14262     1.02751484996  0.00113241806913     1.02482725369  0.00573487024229     1.05578676689   0.0049237733022
     BPMWB.4L1.B1       23368.27512      1.0368222668  0.00118161625294     1.03523479638  0.00504434766956     1.07500041293  0.00486946114198
     BPMSY.4L1.B1       23461.05512     1.01524159187 0.000941611672289     1.01477538257  0.00498494669715     1.03071548985  0.00849397714204
      BPMS.2L1.B1       23487.84062     1.02926486849  0.00077500937917      1.0289945866  0.00233087489041     1.05938616951  0.00356589500475
     BPMSW.1L1.B1       23497.79062     1.01490852288 0.000668032498714      1.0152125465  0.00475710955945     1.03003930982  0.00917670422137
     BPMSW.1R1.B1       23540.93362     1.06083422995 0.000256893881779     1.06070224473    0.005085427947     1.12536926344   0.0101858001652
      BPMS.2R1.B1       23550.89862     1.00785513783 0.000125265138335     1.00828379079  0.00260261436733     1.01577197886  0.00473031995396
     BPMSY.4R1.B1       23577.68412     1.01414669354 0.000155003509587     1.01294148638  0.00504390874263     1.02849351602  0.00855136370664
     BPMWB.4R1.B1       23670.46412      1.0647156708 0.000944880048195     1.06130734361   0.0053954612617     1.13361945966  0.00527023155272
     BPMYA.4R1.B1       23691.59662     1.04619996194  0.00100429667705       1.043588767  0.00560398873214     1.09453436036  0.00780500463509
     BPMYA.4L5.B1       10017.54665     1.04734023484 0.000956643305542     1.04957323076  0.00469565269412     1.09692156752  0.00605436180437
     BPMWB.4L5.B1       10038.68115     1.05423830292  0.00100571349771     1.05602512549  0.00531341479229     1.11141839935   0.0046126585183
     BPMSY.4L5.B1       10131.46115      1.0305119357 0.000853268579541     1.03061240602  0.00456794543406     1.06195484962   0.0072193090211
      BPMS.2L5.B1       10158.24665     1.04353982814 0.000715027552592     1.04390273805  0.00257578660568     1.08897537292  0.00487330814496
     BPMSW.1L5.B1       10168.21165     1.03949319912 0.000633544546274      1.0391884003  0.00460408919499     1.08054611102  0.00943097188283
     BPMSW.1R5.B1       10211.33965     1.03260358511 0.000228080868622     1.03340317413  0.00344623289226     1.06627016399  0.00674328768245
      BPMS.2R5.B1       10221.30465     1.01028395034 0.000121944238355     1.00971520353  0.00245888641358     1.02067366031  0.00459277538214
     BPMWB.4R5.B1       10340.87015      1.0503092394 0.000802855325139     1.05101389969  0.00530837473225     1.10314949838  0.00778036382951
     BPMYA.4R5.B1       10362.00265     1.03858084574 0.000858807185492     1.04056179932  0.00345583606123     1.07865017313  0.00424262498489
       BPM.5R5.B1       10383.12065     1.02784191535 0.000893445151198     1.02788389388  0.00530318835852     1.05645900295  0.00658229637454
