*                 NAME                 BETX              BETXMDL              ERRBETX                    S
$                   %s                  %le                  %le                  %le                  %le
         BPMWF.A1L1.B1        1284.08196302          1577.338072        1.17078291559          23497.60362
          BPMSW.1L1.B1        1261.77981512          1550.355874        1.15654856863          23497.79062
          BPMSW.1R1.B1        1340.08303221          1548.373524        1.20638710618          23540.93362
         BPMWF.A1R1.B1        1356.40770069          1567.527941        1.21673050896          23541.06662
         BPMWF.A1L5.B1        1412.06897682          1580.755258        1.15322450227          10168.02465
          BPMSW.1L5.B1        1388.27564558          1553.695737        1.13948112994          10168.21165
          BPMSW.1R5.B1        1302.09898137          1553.931202        1.08945118639          10211.33965
         BPMWF.A1R5.B1         1318.4692347          1573.154202         1.0989869743          10211.47265
