*                 NAME                 BETY              BETYMDL              ERRBETY                    S
$                   %s                  %le                  %le                  %le                  %le
         BPMWF.A1L5.B2        1388.34238196          1577.296774        1.11389437891          16503.09555
          BPMSW.1L5.B2        1364.52353342            1550.2975        1.10045929043          16503.28255
          BPMSW.1R5.B2         1377.4103454          1550.294853        1.10773180918          16546.41055
         BPMWF.A1R5.B2        1394.40933642           1569.47359         1.1173117708          16546.54355
         BPMWF.A1L1.B2        1805.03133158          1579.741738        1.21695517957          3173.486584
          BPMSW.1L1.B2        1773.41364241          1552.719113        1.20208524674          3173.673584
          BPMSW.1R1.B2         1947.1441743          1550.569619        1.28338438363          3216.816584
         BPMWF.A1R1.B2        1970.67407223          1569.751722        1.29432351346          3216.949584
