@ PLANE %s "Y"
*            NAME                 S           CAL_AMP       CAL_AMP_STD       CALIBRATION ERROR_CALIBRATION          CAL_BETA      CAL_BETA_STD
$              %s               %le               %le               %le               %le               %le               %le               %le
       BPM.5L1.B2       3001.907584     1.00819400892 0.000995252176128     1.00729328873  0.00952347829598     1.01645515962   0.0165036582057
     BPMYA.4L1.B2       3023.025584     1.04393794888  0.00112904164754     1.04133912584  0.00712285687537      1.0898064411  0.00875304149176
     BPMWB.4L1.B2       3044.082084     1.04780497762  0.00118787592401     1.04631665338  0.00670315854088     1.09789527113  0.00961039752627
     BPMSY.4L1.B2       3136.938084     1.05616313264  0.00113066414089     1.05714400786  0.00655480284212     1.11548056275   0.0125301693486
      BPMS.2L1.B2       3163.723584      1.0351702311 0.000920940344753     1.03557481705  0.00649906985333     1.07157740736   0.0124484793704
     BPMSW.1L1.B2       3173.673584     1.01317657069 0.000805674644496     1.01286184982  0.00631973478845     1.02652676339   0.0115081251319
     BPMSW.1R1.B2       3216.816584     1.01570283931 0.000393994343288     1.01545771417   0.0056381000485     1.03165225779    0.010547207652
      BPMS.2R1.B2       3226.781584     1.01935314172 0.000287772334663      1.0187908393  0.00723612914851     1.03908082753   0.0135744632069
     BPMSY.4R1.B2       3253.567084     1.02622939354 7.45019396615e-06     1.02806599718  0.00960361292274     1.05314676816   0.0152382480324
     BPMWB.4R1.B2       3346.423084     1.04065922581 0.000822039803813     1.03658102795   0.0106405084114     1.08297162427   0.0137546935526
     BPMYA.4R1.B2       3367.479584     1.03555069456 0.000921392072436     1.03251817202   0.0101457001672     1.07236524101  0.00825357729952
     BPMYA.4L5.B2       16352.61755     1.06274010559  0.00099860071753     1.06005652424  0.00592122135151     1.12941653204  0.00865005328036
     BPMWB.4L5.B2       16373.67605     1.03191724222 0.000974608556361     1.03189459547   0.0109287523535     1.06485319479   0.0215058429502
     BPMSY.4L5.B2       16466.53205      1.0476042198 0.000911735119176     1.04792285269   0.0102847759773     1.09747460134   0.0206649521054
      BPMS.2L5.B2       16493.31755     1.03151063031 0.000740194440236     1.03174521803  0.00555480533477     1.06401418045   0.0108399855582
     BPMSW.1R5.B2       16546.41055     1.04537864672 0.000319783746931     1.04531832364  0.00540700470323     1.09281651502   0.0107942273744
      BPMS.2R5.B2       16556.37555     1.02738489461 0.000216350396765      1.0272211732  0.00396903719757     1.05551972168  0.00698236637273
     BPMWB.4R5.B2       16676.01705      1.0440783709 0.000703882728258     1.04333393788  0.00876153267643     1.09009964458   0.0140968157443
      BPMR.5R5.B2       16718.19155     1.02032836299 0.000823168092503      1.0175817758  0.00807277664711     1.04106996831   0.0101182697576
