*                 NAME                 BETX              BETXMDL              ERRBETX                    S
$                   %s                  %le                  %le                  %le                  %le
         BPMWF.A1L5.B2        1538.39082731          1578.608712        1.10607687985          16503.09555
          BPMSW.1L5.B2        1511.52873554          1551.586654        1.09257290562          16503.28255
          BPMSW.1R5.B2        1637.04270992           1551.65804        1.15541546071          16546.41055
         BPMWF.A1R5.B2        1656.89766436          1570.853417        1.16530001488          16546.54355
         BPMWF.A1L1.B2        1430.37768724          1583.611736        1.24906802411          3173.486584
          BPMSW.1L1.B2        1406.07705796           1556.52385        1.23409328175          3173.673584
          BPMSW.1R1.B2        1365.81086367          1554.145089        1.20920780984          3216.816584
         BPMWF.A1R1.B2        1382.82455135          1573.372138        1.21973394134          3216.949584
